epoch,step,train_loss
0,9,0.27679145336151123
0,19,0.14133641123771667
0,29,0.124837227165699
0,39,0.10929956287145615
0,49,0.09855619817972183
0,59,0.07645808905363083
0,69,0.0870002806186676
0,79,0.07334811240434647
0,89,0.07398156076669693
0,99,0.04826763644814491
0,109,0.05656037852168083
0,119,0.05724325403571129
0,129,0.052521076053380966
0,139,0.05376848950982094
0,149,0.051537297666072845
0,159,0.05434424802660942
0,169,0.045479319989681244
0,179,0.05566154047846794
0,189,0.049460701644420624
0,199,0.05574355646967888
0,209,0.052448686212301254
0,219,0.057562533766031265
0,229,0.04183254390954971
0,239,0.047819413244724274
0,249,0.04295824095606804
0,259,0.04691305011510849
0,269,0.05659245327115059
0,279,0.04449818655848503
0,289,0.046462222933769226
0,299,0.04768262058496475
0,309,0.038372062146663666
0,319,0.03395023196935654
0,329,0.0332036018371582
0,339,0.03308909758925438
0,349,0.0380999855697155
0,359,0.034281257539987564
0,369,0.04292931780219078
0,379,0.03986061364412308
0,389,0.03980941325426102
0,399,0.03367159143090248
0,409,0.031394653022289276
0,419,0.03973449766635895
0,429,0.0374070405960083
0,439,0.03134758397936821
0,449,0.03518715500831604
0,459,0.027778275310993195
1,469,0.03677430748939514
1,479,0.028085846453905106
1,489,0.03240027651190758
1,499,0.03348786011338234
1,509,0.03639110177755356
1,519,0.02718168869614601
1,529,0.03064006194472313
1,539,0.026472680270671844
1,549,0.030704738572239876
1,559,0.03275200352072716
1,569,0.03538355976343155
1,579,0.025181803852319717
1,589,0.03399721533060074
1,599,0.032856591045856476
1,609,0.03427045792341232
1,619,0.032414693385362625
1,629,0.03174619376659393
1,639,0.046876467764377594
1,649,0.03194497153162956
1,659,0.030719975009560585
1,669,0.031823139637708664
1,679,0.03518448397517204
1,689,0.030952058732509613
1,699,0.03263380378484726
1,709,0.0333557203412056
1,719,0.026831574738025665
1,729,0.033220481127500534
1,739,0.03439202532172203
1,749,0.028928177431225777
1,759,0.033941082656383514
1,769,0.03428799286484718
1,779,0.027004655450582504
1,789,0.03273067995905876
1,799,0.029189523309469223
1,809,0.028473053127527237
1,819,0.02881588228046894
1,829,0.0353616327047348
1,839,0.025410423055291176
1,849,0.0356537401676178
1,859,0.029875734820961952
1,869,0.03841623291373253
1,879,0.031998537480831146
1,889,0.027416793629527092
1,899,0.03199296072125435
1,909,0.026849430054426193
1,919,0.03474521264433861
1,929,0.025468388572335243
2,939,0.03420592099428177
2,949,0.02161877043545246
2,959,0.029042057693004608
2,969,0.026093462482094765
2,979,0.03627149760723114
2,989,0.028325561434030533
2,999,0.02663174644112587
2,1009,0.03184541314840317
2,1019,0.03677889332175255
2,1029,0.027809683233499527
2,1039,0.027958523482084274
2,1049,0.03660356625914574
2,1059,0.026755303144454956
2,1069,0.029054874554276466
2,1079,0.02787630446255207
2,1089,0.022202173247933388
2,1099,0.03146761655807495
2,1109,0.02879502810537815
2,1119,0.027758777141571045
2,1129,0.02712094411253929
2,1139,0.029599284753203392
2,1149,0.02821057103574276
2,1159,0.02456481009721756
2,1169,0.023495040833950043
2,1179,0.024158990010619164
2,1189,0.027039721608161926
2,1199,0.030456367880105972
2,1209,0.025378819555044174
2,1219,0.03027220256626606
2,1229,0.028177080675959587
2,1239,0.023797504603862762
2,1249,0.02544611319899559
2,1259,0.02608560211956501
2,1269,0.02712314948439598
2,1279,0.027052339166402817
2,1289,0.03156745061278343
2,1299,0.023013830184936523
2,1309,0.02272585965692997
2,1319,0.029791593551635742
2,1329,0.02468947507441044
2,1339,0.028784658759832382
2,1349,0.027689393609762192
2,1359,0.028500964865088463
2,1369,0.025924984365701675
2,1379,0.024899326264858246
2,1389,0.026052216067910194
2,1399,0.028465723618865013
3,1409,0.025405021384358406
3,1419,0.03163433074951172
